Symbol,Company Name (EN),Company Name (TH),Industry,Sector,Stakeholder 1,Share % 1,Stakeholder 2,Share % 2,Stakeholder 3,Share % 3,Stakeholder 4,Share % 4,Stakeholder 5,Share % 5
CBG,CARABAO GROUP PUBLIC COMPANY LIMITED,บริษัท คาราบาวกรุ๊ป จำกัด (มหาชน),AGRO,FOOD,SATHIENTHAMHOLDING COMPANY LIMITED,25.01,น.ส. ณัฐชไม ถนอมบูรณ์เจริญ,21.0,นาย ยืนยง โอภากุล,7.05,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,4.59,Thai NVDR Company Limited,3.16
CCET,"CAL-COMP ELECTRONICS (THAILAND) PUBLIC CO., LTD.",บริษัท แคล-คอมพ์ อีเล็คโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),TECH,ETRON,KINPO ELECTRONICS. INC.,49.99,FAR EASTERN INTERNATIONAL BANK,15.84,KGI ASIA LIMITED,15.1,นาย วิทิต พงศ์พิโรดม,2.34,Thai NVDR Company Limited,1.62
CENTEL,CENTRAL PLAZA HOTEL PUBLIC COMPANY LIMITED,บริษัท โรงแรมเซ็นทรัลพลาซา จำกัด (มหาชน),SERVICE,TOURISM,บริษัท  เตียง จิราธิวัฒน์ จำกัด,5.0,UBS AG SINGAPORE BRANCH - FOR CLIENTS' ACCOUNTS,3.79,นาย นิติ โอสถานุเคราะห์,3.06,Thai NVDR Company Limited,2.57,นาย สุทธิเกียรติ จิราธิวัฒน์,2.31
COM7,COM7 PUBLIC COMPANY LIMITED,บริษัท คอมเซเว่น จำกัด (มหาชน),SERVICE,COMM,นาย สุระ คณิตทวีกุล,25.18,นาย พงศ์ศักดิ์ ธรรมธัชอารี,19.95,Thai NVDR Company Limited,9.2,THE BANK OF NEW YORK MELLON,4.35,MISS AREE PREECHANUKUL,2.98
CPALL,CP ALL PUBLIC COMPANY LIMITED,บริษัท ซีพี ออลล์ จำกัด (มหาชน),SERVICE,COMM,บริษัท  ซี.พี.เมอร์แชนไดซิ่ง จำกัด,30.42,Thai NVDR Company Limited,9.67,SOUTH EAST ASIA UK (TYPE C) NOMINEES LIMITED,3.59,SOCIAL SECURITY OFFICE,3.43,กองทุนรวม  วายุภักษ์หนึ่ง,3.21
CPF,CHAROEN POKPHAND FOODS PUBLIC COMPANY LIMITED,บริษัท เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),AGRO,FOOD,บริษัท  เครือเจริญโภคภัณฑ์ จำกัด,25.04,Thai NVDR Company Limited,10.32,UBS AG LONDON BRANCH,9.19,"CHAROEN POKPHAND HOLDING CO., LTD.",8.85,บริษัท  เจริญโภคภัณฑ์อาหาร จำกัด (มหาชน),2.94
CPN,CENTRAL PATTANA PUBLIC COMPANY LIMITED,บริษัท เซ็นทรัลพัฒนา จำกัด (มหาชน),PROPCON,PROP,บริษัท  เซ็นทรัลโฮลดิ้ง จำกัด,26.21,Thai NVDR Company Limited,6.87,กองทุนรวม  วายุภักษ์หนึ่ง,3.49,SOCIAL SECURITY OFFICE,3.33,นาย นิติ โอสถานุเคราะห์,2.39
CRC,CENTRAL RETAIL CORPORATION PUBLIC COMPANY LIMITED,บริษัท เซ็นทรัล รีเทล คอร์ปอเรชั่น จำกัด (มหาชน),SERVICE,COMM,บริษัท  ห้างเซ็นทรัล ดีพาทเมนท์สโตร์ จำกัด,35.06,Deutsche Bank AG Singapore PWM,4.61,SOCIAL SECURITY OFFICE,3.28,กองทุนรวม  วายุภักษ์หนึ่ง,2.77,Thai NVDR Company Limited,1.74
DELTA,DELTA ELECTRONICS (THAILAND) PUBLIC COMPANY LIMITED,บริษัทเดลต้า อีเลคโทรนิคส์ (ประเทศไทย) จำกัด (มหาชน),TECH,ETRON,DELTA ELECTRONICS INT'L (SINGAPORE) PTE. LTD.,42.85,CITI (NOMINEES) LIMITED-CBHK-PBGSG-RESTRICTED SHARES,13.86,DELTA INTERNATIONAL HOLDING LIMITED B.V.,12.71,DELTA ELECTRONICS INC.,5.54,UBS AG HONG KONG BRANCH - FOR CLIENTS' ACCOUNTS,4.38
EGCO,ELECTRICITY GENERATING PUBLIC COMPANY LIMITED,บริษัท ผลิตไฟฟ้า จำกัด (มหาชน),RESOURC,ENERG,การไฟฟ้าฝ่ายผลิตแห่งประเทศไทย,25.41,TEPDIA Generating B.V.,22.42,ELECTRICITY GENERATING AUTHORITY OF THAILAND SAVING AND CREDIT COOPERATIVE LIMITED,6.33,Thai NVDR Company Limited,5.08,SOCIAL SECURITY OFFICE,4.58
GPSC,GLOBAL POWER SYNERGY PUBLIC COMPANY LIMITED,บริษัท โกลบอล เพาเวอร์ ซินเนอร์ยี่ จำกัด (มหาชน),RESOURC,ENERG,บริษัท  ปตท. จำกัด (มหาชน),47.27,PTT GLOBAL CHEMICAL PUBLIC COMPANY LIMITED,10.0,บริษัท  ไทยออยล์ จำกัด (มหาชน),10.0,บริษัท  สยาม แมนเนจเม้นท์ โฮลดิ้ง จำกัด,7.96,กองทุนรวม  วายุภักษ์หนึ่ง,2.89
